2019-05-20 09:10:38,919 [MainThread: 140281087440704]/home/zhang/python/study/backend_ch1_sec1/ops/logdemo.py: logdemo: 10 INFO - hello logging
2019-05-20 09:10:41,032 [MainThread: 140082927294272]/home/zhang/python/study/backend_ch1_sec1/ops/logdemo.py: logdemo: 10 INFO - hello logging
2019-05-20 09:10:42,992 [MainThread: 140516979914560]/home/zhang/python/study/backend_ch1_sec1/ops/logdemo.py: logdemo: 10 INFO - hello logging
2019-05-20 09:12:38,474 [Dummy-6: 139974156723968]/home/zhang/python/.virtualenvs/django2.0/lib/python3.6/site-packages/django/db/backends/utils.py: execute: 111 DEBUG - (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-05-20 09:12:38,475 [Dummy-6: 139974156723968]/home/zhang/python/.virtualenvs/django2.0/lib/python3.6/site-packages/django/db/backends/utils.py: execute: 111 DEBUG - (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2019-05-20 09:12:38,477 [Dummy-6: 139974156723968]/home/zhang/python/.virtualenvs/django2.0/lib/python3.6/site-packages/django/db/backends/utils.py: execute: 111 DEBUG - (0.001) SELECT VERSION(); args=None
2019-05-20 09:12:38,527 [Dummy-6: 139974156723968]/home/zhang/python/.virtualenvs/django2.0/lib/python3.6/site-packages/django/db/backends/utils.py: execute: 111 DEBUG - (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2019-05-20 09:12:38,529 [Dummy-6: 139974156723968]/home/zhang/python/.virtualenvs/django2.0/lib/python3.6/site-packages/django/db/backends/utils.py: execute: 111 DEBUG - (0.001) SHOW FULL TABLES; args=None
2019-05-20 09:12:38,536 [Dummy-6: 139974156723968]/home/zhang/python/.virtualenvs/django2.0/lib/python3.6/site-packages/django/db/backends/utils.py: execute: 111 DEBUG - (0.003) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-05-20 09:36:06,127 [Dummy-6: 139779018839808]/home/zhang/python/.virtualenvs/django2.0/lib/python3.6/site-packages/django/db/backends/utils.py: execute: 111 DEBUG - (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-05-20 09:36:06,129 [Dummy-6: 139779018839808]/home/zhang/python/.virtualenvs/django2.0/lib/python3.6/site-packages/django/db/backends/utils.py: execute: 111 DEBUG - (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2019-05-20 09:36:06,130 [Dummy-6: 139779018839808]/home/zhang/python/.virtualenvs/django2.0/lib/python3.6/site-packages/django/db/backends/utils.py: execute: 111 DEBUG - (0.001) SELECT VERSION(); args=None
2019-05-20 09:36:06,168 [Dummy-6: 139779018839808]/home/zhang/python/.virtualenvs/django2.0/lib/python3.6/site-packages/django/db/backends/utils.py: execute: 111 DEBUG - (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2019-05-20 09:36:06,170 [Dummy-6: 139779018839808]/home/zhang/python/.virtualenvs/django2.0/lib/python3.6/site-packages/django/db/backends/utils.py: execute: 111 DEBUG - (0.001) SHOW FULL TABLES; args=None
2019-05-20 09:36:06,175 [Dummy-6: 139779018839808]/home/zhang/python/.virtualenvs/django2.0/lib/python3.6/site-packages/django/db/backends/utils.py: execute: 111 DEBUG - (0.002) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
